-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2007 through 12/31/2016 
Location: Latitude  30.617   Longitude 57.028 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2019.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS        MERRA-2 Surface Pressure (kPa) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS50M,WD50M,T2M
2007,1,1,4,80.05,1.47,97.31,-4.24
2007,1,1,5,80.09,1.64,85.89,-4.29
2007,1,1,6,80.15,2.0,75.31,-4.49
2007,1,1,7,80.2,2.45,69.25,-4.1
2007,1,1,8,80.25,2.95,66.9,-1.42
2007,1,1,9,80.28,3.43,76.03,1.39
2007,1,1,10,80.26,3.22,81.48,3.37
2007,1,1,11,80.19,2.77,81.07,4.73
2007,1,1,12,80.1,2.48,73.73,5.71
2007,1,1,13,80.03,2.58,62.58,6.17
2007,1,1,14,79.99,3.11,53.07,5.9
2007,1,1,15,79.99,4.26,50.65,4.57
2007,1,1,16,80.02,5.75,51.45,1.33
2007,1,1,17,80.09,6.24,54.68,-3.5
2007,1,1,18,80.16,5.5,59.36,-5.22
2007,1,1,19,80.19,4.34,61.96,-6.03
2007,1,1,20,80.18,3.4,62.61,-6.35
2007,1,1,21,80.15,2.69,60.46,-6.29
2007,1,1,22,80.14,2.29,56.42,-6.32
2007,1,1,23,80.12,2.18,51.98,-6.31
2007,1,2,0,80.11,2.09,48.93,-6.24
2007,1,2,1,80.1,2.06,49.47,-6.14
2007,1,2,2,80.09,2.21,45.29,-6.07
2007,1,2,3,80.06,2.3,39.08,-6.06
2007,1,2,4,80.06,2.34,32.74,-6.02
2007,1,2,5,80.09,2.69,24.33,-5.91
2007,1,2,6,80.14,2.91,16.39,-5.9
2007,1,2,7,80.19,3.05,11.37,-5.49
2007,1,2,8,80.25,3.26,9.53,-3.76
2007,1,2,9,80.31,3.15,8.69,-1.71
2007,1,2,10,80.31,2.95,4.55,0.05
2007,1,2,11,80.25,2.93,2.9,1.31
2007,1,2,12,80.17,3.09,5.08,2.1
2007,1,2,13,80.12,3.18,8.33,2.48
2007,1,2,14,80.1,3.32,11.26,2.47
2007,1,2,15,80.1,3.6,16.27,1.87
2007,1,2,16,80.14,4.11,26.76,-0.23
2007,1,2,17,80.19,4.29,37.31,-4.5
2007,1,2,18,80.26,3.74,43.73,-5.41
2007,1,2,19,80.28,2.76,53.88,-5.58
2007,1,2,20,80.28,1.78,70.3,-5.61
2007,1,2,21,80.26,1.09,99.87,-5.77
2007,1,2,22,80.23,0.9,142.73,-5.83
2007,1,2,23,80.2,0.86,180.52,-5.74
2007,1,3,0,80.18,0.86,222.41,-5.6
